"[ 0.759183  0.769768  0.77904   0.787219  0.79448   0.800964  0.806787
  0.812041  0.816805  0.821143  0.825108  0.828747  0.832097  0.835193
  0.838061  0.840727  0.843211  0.845532  0.847706  0.849747  0.851667
  0.853477  0.855187  0.856805  0.85834 ]","[ 0.780427  0.789317  0.797108  0.803986  0.810095  0.815555  0.820462
  0.824893  0.828914  0.832578  0.835931  0.83901   0.841849  0.844474
  0.846908  0.849174  0.851287  0.853264  0.855118  0.85686   0.858502
  0.860051  0.861517  0.862906  0.864225]","[ 0.800471  0.807797  0.814219  0.81989   0.82493   0.829437  0.83349
  0.837152  0.840478  0.843512  0.84629   0.848844  0.851201  0.853383
  0.85541   0.857297  0.85906   0.860712  0.862263  0.863723  0.8651
  0.866402  0.867636  0.868807  0.869921]","[ 0.819433  0.825308  0.830458  0.835007  0.83905   0.842667  0.845922
  0.848865  0.851539  0.853981  0.856219  0.858279  0.860182  0.861946
  0.863586  0.865117  0.866549  0.867892  0.869156  0.870348  0.871474
  0.872541  0.873554  0.874518  0.875437]","[ 0.837416  0.84194   0.845904  0.849403  0.852514  0.855298  0.857804
  0.860071  0.862133  0.864017  0.865746  0.86734   0.868815  0.870184
  0.87146   0.872652  0.87377   0.874821  0.875813  0.87675   0.877638
  0.878481  0.879284  0.88005   0.880782]","[ 0.854514  0.857772  0.860624  0.86314   0.865376  0.867377  0.869178
  0.870808  0.872293  0.873652  0.874901  0.876054  0.877123  0.878118
  0.879048  0.87992   0.88074   0.881514  0.882246  0.882941  0.883602
  0.884232  0.884835  0.885412  0.885967]","[ 0.870812  0.87288   0.874685  0.876274  0.877685  0.878946  0.880082
  0.881112  0.882051  0.882912  0.883707  0.884442  0.885127  0.885768
  0.88637   0.886937  0.887474  0.887983  0.888469  0.888933  0.889377
  0.889804  0.890216  0.890613  0.890998]","[ 0.88639   0.887329  0.888143  0.888855  0.889484  0.890047  0.890553
  0.891014  0.891435  0.891825  0.892188  0.892527  0.892847  0.893151
  0.89344   0.893718  0.893985  0.894243  0.894493  0.894737  0.894975
  0.895208  0.895437  0.895662  0.895884]","[ 0.901321  0.901185  0.901054  0.900931  0.900818  0.900715  0.900623
  0.900542  0.900472  0.900414  0.900366  0.900328  0.900301  0.900284
  0.900276  0.900277  0.900286  0.900304  0.90033   0.900364  0.900404
  0.900452  0.900506  0.900567  0.900633]","[ 0.915678  0.914506  0.913469  0.912547  0.911724  0.910986  0.910323
  0.909726  0.909187  0.908701  0.908261  0.907864  0.907505  0.907182
  0.90689   0.906627  0.906391  0.906179  0.90599   0.905823  0.905674
  0.905544  0.905431  0.905334  0.905251]","[ 0.929533  0.927354  0.92544   0.923747  0.92224   0.920893  0.919682
  0.91859   0.917603  0.916707  0.915893  0.915152  0.914476  0.91386
  0.913296  0.91278   0.912309  0.911878  0.911484  0.911123  0.910794
  0.910494  0.91022   0.909971  0.909746]","[ 0.942963  0.939789  0.937016  0.934573  0.932404  0.930467  0.928728
  0.92716   0.925741  0.924453  0.92328   0.922209  0.921229  0.920331
  0.919507  0.91875   0.918053  0.917411  0.91682   0.916274  0.915772
  0.915308  0.91488   0.914486  0.914123]","[ 0.956056  0.951879  0.948251  0.945068  0.942251  0.93974   0.937489
  0.93546   0.933625  0.931958  0.930439  0.92905   0.927778  0.92661
  0.925536  0.924546  0.923632  0.922788  0.922007  0.921285  0.920615
  0.919994  0.919418  0.918884  0.918389]","[ 0.968927  0.963703  0.959205  0.95528   0.95182   0.948744  0.945992
  0.943515  0.941275  0.939241  0.937387  0.935692  0.934138  0.93271
  0.931394  0.93018   0.929058  0.928019  0.927056  0.926162  0.925332
  0.92456   0.923841  0.923173  0.92255 ]","[ 0.981761  0.975375  0.969954  0.965265  0.961155  0.957515  0.954267
  0.951349  0.948713  0.946321  0.944142  0.942149  0.940322  0.938642
  0.937094  0.935663  0.93434   0.933113  0.931974  0.930915  0.92993
  0.929012  0.928156  0.927358  0.926612]","[ 0.994939  0.987091  0.980614  0.9751    0.970311  0.966095  0.962348
  0.95899   0.955963  0.95322   0.950722  0.948439  0.946346  0.944421
  0.942647  0.941007  0.939488  0.938079  0.93677   0.935552  0.934417
  0.933359  0.93237   0.931446  0.930582]","[ 1.        0.998727  0.99149   0.984933  0.979379  0.974548  0.970282
  0.966477  0.963056  0.959962  0.957149  0.954581  0.952227  0.950063
  0.948067  0.946223  0.944515  0.942929  0.941455  0.940083  0.938803
  0.937608  0.93649   0.935445  0.934466]","[ 1.        1.        1.        0.994724  0.988554  0.983054  0.978169
  0.973874  0.970039  0.966585  0.963453  0.960599  0.957985  0.955584
  0.953372  0.951327  0.949434  0.947676  0.946041  0.944517  0.943096
  0.941769  0.940527  0.939364  0.938274]","[ 1.        1.        1.        1.        0.996552  0.991227  0.985977
  0.981265  0.977028  0.973198  0.969709  0.966545  0.963662  0.96102
  0.958589  0.956344  0.954266  0.952337  0.950544  0.948873  0.947314
  0.945857  0.944494  0.943217  0.942019]","[ 1.        1.        1.        1.        1.        0.998302  0.993158
  0.988228  0.983688  0.979571  0.975829  0.972416  0.96929   0.966419
  0.963774  0.96133   0.959066  0.956966  0.955013  0.953194  0.951497
  0.949911  0.948427  0.947036  0.94573 ]","[ 1.        1.        1.        1.        1.        1.        0.999971
  0.994374  0.989958  0.985621  0.981636  0.977989  0.974646  0.971572
  0.968737  0.966117  0.963688  0.961432  0.959331  0.957373  0.955544
  0.953832  0.952228  0.950723  0.94931 ]","[ 1.        1.        1.        1.        1.        1.        1.        1.
  0.995097  0.991255  0.987157  0.983321  0.979782  0.976519  0.973506
  0.970717  0.968131  0.965727  0.963487  0.961397  0.959443  0.957614
  0.955898  0.954287  0.952773]","[ 1.        1.        1.        1.        1.        1.        1.        1.
  1.        0.995894  0.992174  0.988367  0.984695  0.981272  0.978098
  0.975155  0.972421  0.969877  0.967506  0.965291  0.963219  0.961278
  0.959456  0.957745  0.956135]","[ 1.        1.        1.        1.        1.        1.        1.        1.
  1.        1.        0.996557  0.99273   0.989303  0.985808  0.98251
  0.979432  0.976564  0.973891  0.971396  0.969064  0.966881  0.964834
  0.962911  0.961104  0.959403]","[ 1.        1.        1.        1.        1.        1.        1.        1.
  1.        1.        1.        0.997067  0.992981  0.990009  0.986703
  0.983535  0.980557  0.97777   0.975162  0.972721  0.970433  0.968286
  0.966269  0.964371  0.962583]"
"[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]","[ 0.025       0.04895833  0.07291667  0.096875    0.12083333  0.14479167
  0.16875     0.19270833  0.21666667  0.240625    0.26458333  0.28854167
  0.3125      0.33645833  0.36041667  0.384375    0.40833333  0.43229167
  0.45625     0.48020833  0.50416667  0.528125    0.55208333  0.57604167
  0.6       ]"
"[ 0.025  0.025  0.025  0.025  0.025  0.025  0.025  0.025  0.025  0.025
  0.025  0.025  0.025  0.025  0.025  0.025  0.025  0.025  0.025  0.025
  0.025  0.025  0.025  0.025  0.025]","[ 0.040625  0.040625  0.040625  0.040625  0.040625  0.040625  0.040625
  0.040625  0.040625  0.040625  0.040625  0.040625  0.040625  0.040625
  0.040625  0.040625  0.040625  0.040625  0.040625  0.040625  0.040625
  0.040625  0.040625  0.040625  0.040625]","[ 0.05625  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625
  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625
  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625  0.05625
  0.05625]","[ 0.071875  0.071875  0.071875  0.071875  0.071875  0.071875  0.071875
  0.071875  0.071875  0.071875  0.071875  0.071875  0.071875  0.071875
  0.071875  0.071875  0.071875  0.071875  0.071875  0.071875  0.071875
  0.071875  0.071875  0.071875  0.071875]","[ 0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875
  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875
  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875  0.0875]","[ 0.103125  0.103125  0.103125  0.103125  0.103125  0.103125  0.103125
  0.103125  0.103125  0.103125  0.103125  0.103125  0.103125  0.103125
  0.103125  0.103125  0.103125  0.103125  0.103125  0.103125  0.103125
  0.103125  0.103125  0.103125  0.103125]","[ 0.11875  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875
  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875
  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875  0.11875
  0.11875]","[ 0.134375  0.134375  0.134375  0.134375  0.134375  0.134375  0.134375
  0.134375  0.134375  0.134375  0.134375  0.134375  0.134375  0.134375
  0.134375  0.134375  0.134375  0.134375  0.134375  0.134375  0.134375
  0.134375  0.134375  0.134375  0.134375]","[ 0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15
  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15  0.15
  0.15]","[ 0.165625  0.165625  0.165625  0.165625  0.165625  0.165625  0.165625
  0.165625  0.165625  0.165625  0.165625  0.165625  0.165625  0.165625
  0.165625  0.165625  0.165625  0.165625  0.165625  0.165625  0.165625
  0.165625  0.165625  0.165625  0.165625]
